T,Simulink
0.54,7.908
0.541,7.9081
0.542,7.9082
0.543,7.9083
0.544,7.9084
0.545,7.9085
0.546,7.9086
0.547,7.9087
0.548,7.9088
0.549,7.9089
0.55,7.909
0.551,7.9091
0.552,7.9092
0.553,7.9093
0.554,7.9094
0.555,7.9095
0.556,7.9096
0.557,7.9097
0.558,7.9098
0.559,7.9099
0.56,7.91
0.561,7.9101
0.562,7.9102
0.563,7.9103
0.564,7.9104
0.565,7.9105
0.566,7.9106
0.567,7.9107
0.568,7.9108
0.569,7.9109
0.57,7.911
0.571,7.9111
0.572,7.9112
0.573,7.9113
0.574,7.9114
0.575,7.9115
0.576,7.9116
0.577,7.9117
0.578,7.9118
0.579,7.9119
0.58,7.912
0.581,7.9121
0.582,7.9122
0.583,7.9123
0.584,7.9124
0.585,7.9125
0.586,7.9126
0.587,7.9127
0.588,7.9128
0.589,7.9129
0.59,7.913
0.591,7.9131
0.592,7.9132
0.593,7.9133
0.594,7.9134
0.595,7.9135
0.596,7.9136
0.597,7.9137
0.598,7.9138
0.599,7.9139
0.6,7.914
0.601,7.9141
0.602,7.9142
0.603,7.9143
0.604,7.9144
0.605,7.9145
0.606,7.9146
0.607,7.9147
0.608,7.9148
0.609,7.9149
0.61,7.915
0.611,7.9151
0.612,7.9152
0.613,7.9153
0.614,7.9154
0.615,7.9155
0.616,7.9156
0.617,7.9157
0.618,7.9158
0.619,7.9159
0.62,7.916
0.621,7.9161
0.622,7.9162
0.623,7.9163
0.624,7.9164
0.625,7.9165
0.626,7.9166
0.627,7.9167
0.628,7.9168
0.629,7.9169
0.63,7.917
0.631,7.9171
0.632,7.9172
0.633,7.9173
0.634,7.9174
0.635,7.9175
0.636,7.9176
0.637,7.9177
0.638,7.9178
0.639,7.9179
0.64,7.918
0.641,7.9181
0.642,7.9182
0.643,7.9183
0.644,7.9184
0.645,7.9185
0.646,7.9186
0.647,7.9187
0.648,7.9188
0.649,7.9189
0.65,7.919
0.651,7.9191
0.652,7.9192
0.653,7.9193
0.654,7.9194
0.655,7.9195
0.656,7.9196
0.657,7.9197
0.658,7.9198
0.659,7.9199
0.66,7.92
0.661,7.9201
0.662,7.9202
0.663,7.9203
0.664,7.9204
0.665,7.9205
0.666,7.9206
0.667,7.9207
0.668,7.9208
0.669,7.9209
0.67,7.921
0.671,7.9211
0.672,7.9212
0.673,7.9213
0.674,7.9214
0.675,7.9215
0.676,7.9216
0.677,7.9217
0.678,7.9218
0.679,7.9219
0.68,7.922
0.681,7.9221
0.682,7.9222
0.683,7.9223
0.684,7.9224
0.685,7.9225
0.686,7.9226
0.687,7.9227
0.688,7.9228
0.689,7.9229
0.69,7.923
0.691,7.9231
0.692,7.9232
0.693,7.9233
0.694,7.9234
0.695,7.9235
0.696,7.9236
0.697,7.9237
0.698,7.9238
0.699,7.9239
0.7,7.924
0.701,7.9241
0.702,7.9242
0.703,7.9243
0.704,7.9244
0.705,7.9245
0.706,7.9246
0.707,7.9247
0.708,7.9248
0.709,7.9249
0.71,7.925
0.711,7.9251
0.712,7.9252
0.713,7.9253
0.714,7.9254
0.715,7.9255
0.716,7.9256
0.717,7.9257
0.718,7.9258
0.719,7.9259
0.72,7.926
0.721,7.9261
0.722,7.9262
0.723,7.9263
0.724,7.9264
0.725,7.9265
0.726,7.9266
0.727,7.9267
0.728,7.9268
0.729,7.9269
0.73,7.927
0.731,7.9271
0.732,7.9272
0.733,7.9273
0.734,7.9274
0.735,7.9275
0.736,7.9276
0.737,7.9277
0.738,7.9278
0.739,7.9279
0.74,7.928
0.741,7.9281
0.742,7.9282
0.743,7.9283
0.744,7.9284
0.745,7.9285
0.746,7.9286
0.747,7.9287
0.748,7.9288
0.749,7.9289
0.75,7.929
0.751,7.9291
0.752,7.9292
0.753,7.9293
0.754,7.9294
0.755,7.9295
0.756,7.9296
0.757,7.9297
0.758,7.9298
0.759,7.9299
0.76,7.93
0.761,7.9301
0.762,7.9302
0.763,7.9303
0.764,7.9304
0.765,7.9305
0.766,7.9306
0.767,7.9307
0.768,7.9308
0.769,7.9309
0.77,7.931
0.771,7.9311
0.772,7.9312
0.773,7.9313
0.774,7.9314
0.775,7.9315
0.776,7.9316
0.777,7.9317
0.778,7.9318
0.779,7.9319
0.78,7.932
0.781,7.9321
0.782,7.9322
0.783,7.9323
0.784,7.9324
0.785,7.9325
0.786,7.9326
0.787,7.9327
0.788,7.9328
0.789,7.9329
0.79,7.933
0.791,7.9331
0.792,7.9332
0.793,7.9333
0.794,7.9334
0.795,7.9335
0.796,7.9336
0.797,7.9337
0.798,7.9338
0.799,7.9339
0.8,7.934
0.801,7.9341
0.802,7.9342
0.803,7.9343
0.804,7.9344
0.805,7.9345
0.806,7.9346
0.807,7.9347
0.808,7.9348
0.809,7.9349
0.81,7.935
0.811,7.9351
0.812,7.9352
0.813,7.9353
0.814,7.9354
0.815,7.9355
0.816,7.9356
0.817,7.9357
0.818,7.9358
0.819,7.9359
0.82,7.936
0.821,7.9361
0.822,7.9362
0.823,7.9363
0.824,7.9364
0.825,7.9365
0.826,7.9366
0.827,7.9367
0.828,7.9368
0.829,7.9369
0.83,7.937
0.831,7.9371
0.832,7.9372
0.833,7.9373
0.834,7.9374
0.835,7.9375
0.836,7.9376
0.837,7.9377
0.838,7.9378
0.839,7.9379
0.84,7.938
0.841,7.9381
0.842,7.9382
0.843,7.9383
0.844,7.9384
0.845,7.9385
0.846,7.9386
0.847,7.9387
0.848,7.9388
0.849,7.9389
0.85,7.939
0.851,7.9391
0.852,7.9392
0.853,7.9393
0.854,7.9394
0.855,7.9395
0.856,7.9396
0.857,7.9397
0.858,7.9398
0.859,7.9399
0.86,7.94
0.861,7.9401
0.862,7.9402
0.863,7.9403
0.864,7.9404
0.865,7.9405
0.866,7.9406
0.867,7.9407
0.868,7.9408
0.869,7.9409
0.87,7.941
0.871,7.9411
0.872,7.9412
0.873,7.9413
0.874,7.9414
0.875,7.9415
0.876,7.9416
0.877,7.9417
0.878,7.9418
0.879,7.9419
0.88,7.942
0.881,7.9421
0.882,7.9422
0.883,7.9423
0.884,7.9424
0.885,7.9425
0.886,7.9426
0.887,7.9427
0.888,7.9428
0.889,7.9429
0.89,7.943
0.891,7.9431
0.892,7.9432
0.893,7.9433
0.894,7.9434
0.895,7.9435
0.896,7.9436
0.897,7.9437
0.898,7.9438
0.899,7.9439
0.9,7.944
0.901,7.9441
0.902,7.9442
0.903,7.9443
0.904,7.9444
0.905,7.9445
0.906,7.9446
0.907,7.9447
0.908,7.9448
0.909,7.9449
0.91,7.945
0.911,7.9451
0.912,7.9452
0.913,7.9453
0.914,7.9454
0.915,7.9455
0.916,7.9456
0.917,7.9457
0.918,7.9458
0.919,7.9459
0.92,7.946
0.921,7.9461
0.922,7.9462
0.923,7.9463
0.924,7.9464
0.925,7.9465
0.926,7.9466
0.927,7.9467
0.928,7.9468
0.929,7.9469
0.93,7.947
0.931,7.9471
0.932,7.9472
0.933,7.9473
0.934,7.9474
0.935,7.9475
0.936,7.9476
0.937,7.9477
0.938,7.9478
0.939,7.9479
0.94,7.948
0.941,7.9481
0.942,7.9482
0.943,7.9483
0.944,7.9484
0.945,7.9485
0.946,7.9486
0.947,7.9487
0.948,7.9488
0.949,7.9489
0.95,7.949
0.951,7.9491
0.952,7.9492
0.953,7.9493
0.954,7.9494
0.955,7.9495
0.956,7.9496
0.957,7.9497
0.958,7.9498
0.959,7.9499
0.96,7.95
0.961,7.9501
0.962,7.9502
0.963,7.9503
0.964,7.9504
0.965,7.9505
0.966,7.9506
0.967,7.9507
0.968,7.9508
0.969,7.9509
0.97,7.951
0.971,7.9511
0.972,7.9512
0.973,7.9513
0.974,7.9514
0.975,7.9515
0.976,7.9516
0.977,7.9517
0.978,7.9518
0.979,7.9519
0.98,7.952
0.981,7.9521
0.982,7.9522
0.983,7.9523
0.984,7.9524
0.985,7.9525
0.986,7.9526
0.987,7.9527
0.988,7.9528
0.989,7.9529
0.99,7.953
0.991,7.9531
0.992,7.9532
0.993,7.9533
0.994,7.9534
0.995,7.9535
0.996,7.9536
0.997,7.9537
0.998,7.9538
0.999,7.9539
1,7.954
1.001,7.9541
1.002,7.9542
1.003,7.9543
1.004,7.9544
1.005,7.9545
1.006,7.9546
1.007,7.9547
1.008,7.9548
1.009,7.9549
1.01,7.955
1.011,7.9551
1.012,7.9552
1.013,7.9553
1.014,7.9554
1.015,7.9555
1.016,7.9556
1.017,7.9557
1.018,7.9558
1.019,7.9559
1.02,7.956
1.021,7.9561
1.022,7.9562
1.023,7.9563
1.024,7.9564
1.025,7.9565
1.026,7.9566
1.027,7.9567
1.028,7.9568
1.029,7.9569
1.03,7.957
1.031,7.9571
1.032,7.9572
1.033,7.9573
1.034,7.9574
1.035,7.9575
1.036,7.9576
1.037,7.9577
1.038,7.9578
1.039,7.9579
1.04,7.958
1.041,7.9581
1.042,7.9582
1.043,7.9583
1.044,7.9584
1.045,7.9585
1.046,7.9586
1.047,7.9587
1.048,7.9588
1.049,7.9589
1.05,7.959
1.051,7.9591
1.052,7.9592
1.053,7.9593
1.054,7.9594
1.055,7.9595
1.056,7.9596
1.057,7.9597
1.058,7.9598
1.059,7.9599
1.06,7.96
1.061,7.9601
1.062,7.9602
1.063,7.9603
1.064,7.9604
1.065,7.9605
1.066,7.9606
1.067,7.9607
1.068,7.9608
1.069,7.9609
1.07,7.961
1.071,7.9611
1.072,7.9612
1.073,7.9613
1.074,7.9614
1.075,7.9615
1.076,7.9616
1.077,7.9617
1.078,7.9618
1.079,7.9619
1.08,7.962
1.081,7.9621
1.082,7.9622
1.083,7.9623
1.084,7.9624
1.085,7.9625
1.086,7.9626
1.087,7.9627
1.088,7.9628
1.089,7.9629
1.09,7.963
1.091,7.9631
1.092,7.9632
1.093,7.9633
1.094,7.9634
1.095,7.9635
1.096,7.9636
1.097,7.9637
1.098,7.9638
1.099,7.9639
1.1,7.964
1.101,7.9641
1.102,7.9642
1.103,7.9643
1.104,7.9644
1.105,7.9645
1.106,7.9646
1.107,7.9647
1.108,7.9648
1.109,7.9649
1.11,7.965
1.111,7.9651
1.112,7.9652
1.113,7.9653
1.114,7.9654
1.115,7.9655
1.116,7.9656
1.117,7.9657
1.118,7.9658
1.119,7.9659
1.12,7.966
1.121,7.9661
1.122,7.9662
1.123,7.9663
1.124,7.9664
1.125,7.9665
1.126,7.9666
1.127,7.9667
1.128,7.9668
1.129,7.9669
1.13,7.967
1.131,7.9671
1.132,7.9672
1.133,7.9673
1.134,7.9674
1.135,7.9675
1.136,7.9676
1.137,7.9677
1.138,7.9678
1.139,7.9679
1.14,7.968
1.141,7.9681
1.142,7.9682
1.143,7.9683
1.144,7.9684
1.145,7.9685
1.146,7.9686
1.147,7.9687
1.148,7.9688
1.149,7.9689
1.15,7.969
1.151,7.9691
1.152,7.9692
1.153,7.9693
1.154,7.9694
1.155,7.9695
1.156,7.9696
1.157,7.9697
1.158,7.9698
1.159,7.9699
1.16,7.97
1.161,7.9701
1.162,7.9702
1.163,7.9703
1.164,7.9704
1.165,7.9705
1.166,7.9706
1.167,7.9707
1.168,7.9708
1.169,7.9709
1.17,7.971
1.171,7.9711
1.172,7.9712
1.173,7.9713
1.174,7.9714
1.175,7.9715
1.176,7.9716
1.177,7.9717
1.178,7.9718
1.179,7.9719
1.18,7.972
1.181,7.9721
1.182,7.9722
1.183,7.9723
1.184,7.9724
1.185,7.9725
1.186,7.9726
1.187,7.9727
1.188,7.9728
1.189,7.9729
1.19,7.973
1.191,7.9731
1.192,7.9732
1.193,7.9733
1.194,7.9734
1.195,7.9735
1.196,7.9736
1.197,7.9737
1.198,7.9738
1.199,7.9739
1.2,7.974
1.201,7.9741
1.202,7.9742
1.203,7.9743
1.204,7.9744
1.205,7.9745
1.206,7.9746
1.207,7.9747
1.208,7.9748
1.209,7.9749
1.21,7.975
1.211,7.9751
1.212,7.9752
1.213,7.9753
1.214,7.9754
1.215,7.9755
1.216,7.9756
1.217,7.9757
1.218,7.9758
1.219,7.9759
1.22,7.976
1.221,7.9761
1.222,7.9762
1.223,7.9763
1.224,7.9764
1.225,7.9765
1.226,7.9766
1.227,7.9767
1.228,7.9768
1.229,7.9769
1.23,7.977
1.231,7.9771
1.232,7.9772
1.233,7.9773
1.234,7.9774
1.235,7.9775
1.236,7.9776
1.237,7.9777
1.238,7.9778
1.239,7.9779
1.24,7.978
1.241,7.9781
1.242,7.9782
1.243,7.9783
1.244,7.9784
1.245,7.9785
1.246,7.9786
1.247,7.9787
1.248,7.9788
1.249,7.9789
1.25,7.979
1.251,7.9791
1.252,7.9792
1.253,7.9793
1.254,7.9794
1.255,7.9795
1.256,7.9796
1.257,7.9797
1.258,7.9798
1.259,7.9799
1.26,7.98
1.261,7.9801
1.262,7.9802
1.263,7.9803
1.264,7.9804
1.265,7.9805
1.266,7.9806
1.267,7.9807
1.268,7.9808
1.269,7.9809
1.27,7.981
1.271,7.9811
1.272,7.9812
1.273,7.9813
1.274,7.9814
1.275,7.9815
1.276,7.9816
1.277,7.9817
1.278,7.9818
1.279,7.9819
1.28,7.982
1.281,7.9821
1.282,7.9822
1.283,7.9823
1.284,7.9824
1.285,7.9825
1.286,7.9826
1.287,7.9827
1.288,7.9828
1.289,7.9829
1.29,7.983
1.291,7.9831
1.292,7.9832
1.293,7.9833
1.294,7.9834
1.295,7.9835
1.296,7.9836
1.297,7.9837
1.298,7.9838
1.299,7.9839
1.3,7.984
1.301,7.9841
1.302,7.9842
1.303,7.9843
1.304,7.9844
1.305,7.9845
1.306,7.9846
1.307,7.9847
1.308,7.9848
1.309,7.9849
1.31,7.985
1.311,7.9851
1.312,7.9852
1.313,7.9853
1.314,7.9854
1.315,7.9855
1.316,7.9856
1.317,7.9857
1.318,7.9858
1.319,7.9859
1.32,7.986
1.321,7.9861
1.322,7.9862
1.323,7.9863
1.324,7.9864
1.325,7.9865
1.326,7.9866
1.327,7.9867
1.328,7.9868
1.329,7.9869
1.33,7.987
1.331,7.9871
1.332,7.9872
1.333,7.9873
1.334,7.9874
1.335,7.9875
1.336,7.9876
1.337,7.9877
1.338,7.9878
1.339,7.9879
1.34,7.988
1.341,7.9881
1.342,7.9882
1.343,7.9883
1.344,7.9884
1.345,7.9885
1.346,7.9886
1.347,7.9887
1.348,7.9888
1.349,7.9889
1.35,7.989
1.351,7.9891
1.352,7.9892
1.353,7.9893
1.354,7.9894
1.355,7.9895
1.356,7.9896
1.357,7.9897
1.358,7.9898
1.359,7.9899
1.36,7.99
1.361,7.9901
1.362,7.9902
1.363,7.9903
1.364,7.9904
1.365,7.9905
1.366,7.9906
1.367,7.9907
1.368,7.9908
1.369,7.9909
1.37,7.991
1.371,7.9911
1.372,7.9912
1.373,7.9913
1.374,7.9914
1.375,7.9915
1.376,7.9916
1.377,7.9917
1.378,7.9918
1.379,7.9919
1.38,7.992
1.381,7.9921
1.382,7.9922
1.383,7.9923
1.384,7.9924
1.385,7.9925
1.386,7.9926
1.387,7.9927
1.388,7.9928
1.389,7.9929
1.39,7.993
1.391,7.9931
1.392,7.9932
1.393,7.9933
1.394,7.9934
1.395,7.9935
1.396,7.9936
1.397,7.9937
1.398,7.9938
1.399,7.9939
1.4,7.994
1.401,7.9941
1.402,7.9942
1.403,7.9943
1.404,7.9944
1.405,7.9945
1.406,7.9946
1.407,7.9947
1.408,7.9948
1.409,7.9949
1.41,7.995
1.411,7.9951
1.412,7.9952
1.413,7.9953
1.414,7.9954
1.415,7.9955
1.416,7.9956
1.417,7.9957
1.418,7.9958
1.419,7.9959
1.42,7.996
1.421,7.9961
1.422,7.9962
1.423,7.9963
1.424,7.9964
1.425,7.9965
1.426,7.9966
1.427,7.9967
1.428,7.9968
1.429,7.9969
1.43,7.997
1.431,7.9971
1.432,7.9972
1.433,7.9973
1.434,7.9974
1.435,7.9975
1.436,7.9976
1.437,7.9977
1.438,7.9978
1.439,7.9979
1.44,7.998
1.441,7.9981
1.442,7.9982
1.443,7.9983
1.444,7.9984
1.445,7.9985
1.446,7.9986
1.447,7.9987
1.448,7.9988
1.449,7.9989
1.45,7.999
1.451,7.9991
1.452,7.9992
1.453,7.9993
1.454,7.9994
1.455,7.9995
1.456,7.9996
1.457,7.9997
1.458,7.9998
1.459,7.9999
1.46,8
1.461,8.0001
1.462,8.0002
1.463,8.0003
1.464,8.0004
1.465,8.0005
1.466,8.0006
1.467,8.0007
1.468,8.0008
1.469,8.0009
1.47,8.001
1.471,8.0011
1.472,8.0012
1.473,8.0013
1.474,8.0014
1.475,8.0015
1.476,8.0016
1.477,8.0017
